,Anomalies(#),Blockade(#),RemoraAttacks(#),Time,index
0,0,0,0,599.0,0
1,1,0,1,588.0,0
2,2,0,2,576.0,0
3,3,1,2,575.0,0
0,0,0,0,599.0,1
1,1,0,1,587.0,1
2,2,0,2,570.0,1
0,0,0,0,599.0,2
1,1,1,0,591.0,2
2,2,2,0,586.0,2
3,3,2,1,585.0,2
4,4,3,1,572.0,2
0,0,0,0,599.0,3
1,1,1,0,590.0,3
2,2,1,1,587.0,3
3,3,2,1,580.0,3
4,4,2,2,569.0,3
0,0,0,0,599.0,4
1,1,1,0,590.0,4
2,2,1,1,585.0,4
3,3,2,1,583.0,4
4,4,2,2,569.0,4
0,0,0,0,599.0,5
1,1,1,0,590.0,5
2,2,1,1,587.0,5
3,3,2,1,583.0,5
4,4,3,1,572.0,5
5,5,3,2,570.0,5
6,6,4,2,559.0,5
7,7,4,3,557.0,5
0,0,0,0,599.0,6
1,1,1,0,590.0,6
2,2,1,1,585.0,6
3,3,2,1,584.0,6
4,4,2,2,568.0,6
0,0,0,0,599.0,7
1,1,1,0,590.0,7
2,2,1,1,586.0,7
3,3,1,2,570.0,7
0,0,0,0,599.0,8
1,1,0,1,586.0,8
2,2,0,2,569.0,8
3,3,1,2,558.0,8
4,4,1,3,555.0,8
0,0,0,0,599.0,9
1,1,0,1,584.0,9
2,2,0,2,567.0,9
3,3,0,3,553.0,9
4,4,1,3,550.0,9
0,0,0,0,599.0,10
1,1,0,1,586.0,10
2,2,0,2,569.0,10
0,0,0,0,599.0,11
1,1,0,1,587.0,11
2,2,1,1,569.0,11
3,3,1,2,569.0,11
0,0,0,0,599.0,12
1,1,1,0,589.0,12
2,2,1,1,585.0,12
3,3,1,2,567.0,12
4,4,2,2,554.0,12
0,0,0,0,599.0,13
1,1,0,1,584.0,13
2,2,1,1,573.0,13
3,3,1,2,566.0,13
0,0,0,0,599.0,14
1,1,0,1,585.0,14
2,2,0,2,568.0,14
3,3,1,2,559.0,14
4,4,1,3,554.0,14
0,0,0,0,599.0,15
1,1,0,1,586.0,15
2,2,1,1,581.0,15
3,3,1,2,569.0,15
0,0,0,0,599.0,16
1,1,0,1,585.0,16
2,2,1,1,581.0,16
3,3,2,1,574.0,16
4,4,2,2,566.0,16
5,5,3,2,553.0,16
0,0,0,0,599.0,17
1,1,1,0,591.0,17
2,2,1,1,586.0,17
3,3,1,2,569.0,17
0,0,0,0,599.0,18
1,1,1,0,591.0,18
2,2,1,1,585.0,18
3,3,2,1,577.0,18
4,4,2,2,566.0,18
0,0,0,0,599.0,19
1,1,0,1,587.0,19
2,2,1,1,581.0,19
3,3,1,2,570.0,19
4,4,2,2,565.0,19
5,5,3,2,559.0,19
0,0,0,0,599.0,20
1,1,1,0,591.0,20
2,2,1,1,586.0,20
3,3,2,1,583.0,20
4,4,2,2,570.0,20
0,0,0,0,599.0,21
1,1,1,0,590.0,21
2,2,1,1,586.0,21
3,3,2,1,584.0,21
4,4,2,2,569.0,21
0,0,0,0,599.0,22
1,1,0,1,585.0,22
2,2,0,2,568.0,22
3,3,1,2,558.0,22
4,4,1,3,554.0,22
0,0,0,0,599.0,23
1,1,1,0,592.0,23
2,2,1,1,586.0,23
3,3,1,2,569.0,23
0,0,0,0,599.0,24
1,1,0,1,584.0,24
2,2,1,1,579.0,24
3,3,2,1,571.0,24
4,4,2,2,566.0,24
